sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
477,9.017 944 336,"main","syscall","Returns after 91.553 us",295500,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5297,5,1C 02 A2 01 03 
478,9.017 944 336,"main","syscall","name=uart_poll_out",295500,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5302,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
479,9.018 035 889,"main","syscall","Returns after 91.553 us",295503,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5320,5,1C 02 A2 01 03 
480,9.018 035 889,"main","syscall","name=uart_poll_out",295503,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5325,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
481,9.018 127 441,"main","syscall","Returns after 91.553 us",295506,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5343,5,1C 02 A2 01 03 
482,9.018 127 441,"main","syscall","name=uart_poll_out",295506,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5348,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
483,9.018 188 477,"main","syscall","Returns after 61.035 us",295508,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5366,5,1C 02 A2 01 02 
484,9.018 218 994,"main","syscall","name=uart_poll_out",295509,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5371,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
485,9.018 280 029,"main","syscall","Returns after 61.035 us",295511,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5389,5,1C 02 A2 01 02 
486,9.018 310 547,"main","syscall","name=uart_poll_out",295512,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5394,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
487,9.018 371 582,"main","syscall","Returns after 61.035 us",295514,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5412,5,1C 02 A2 01 02 
488,9.018 371 582,"main","syscall","name=uart_poll_out",295514,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5417,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
489,9.018 463 135,"main","syscall","Returns after 91.553 us",295517,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5435,5,1C 02 A2 01 03 
490,9.018 463 135,"main","syscall","name=uart_poll_out",295517,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5440,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
491,9.018 554 688,"main","syscall","Returns after 91.553 us",295520,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5458,5,1C 02 A2 01 03 
492,9.018 554 688,"main","syscall","name=uart_poll_out",295520,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5463,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
493,9.018 646 240,"main","syscall","Returns after 91.553 us",295523,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5481,5,1C 02 A2 01 03 
494,9.018 646 240,"main","syscall","name=uart_poll_out",295523,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5486,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
495,9.018 737 793,"main","syscall","Returns after 91.553 us",295526,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5504,5,1C 02 A2 01 03 
496,9.018 737 793,"main","syscall","name=uart_poll_out",295526,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5509,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
497,9.018 798 828,"main","syscall","Returns after 61.035 us",295528,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5527,5,1C 02 A2 01 02 
498,9.018 829 346,"main","syscall","name=uart_poll_out",295529,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5532,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
499,9.018 890 381,"main","syscall","Returns after 61.035 us",295531,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5550,5,1C 02 A2 01 02 
500,9.018 920 898,"main","syscall","name=uart_poll_out",295532,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5555,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
501,9.018 981 934,"main","syscall","Returns after 61.035 us",295534,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5573,5,1C 02 A2 01 02 
502,9.018 981 934,"main","syscall","name=uart_poll_out",295534,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5578,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
503,9.019 073 486,"main","syscall","Returns after 91.553 us",295537,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5596,5,1C 02 A2 01 03 
504,9.019 073 486,"main","syscall","name=uart_poll_out",295537,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5601,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
505,9.019 165 039,"main","syscall","Returns after 91.553 us",295540,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5619,5,1C 02 A2 01 03 
506,9.019 165 039,"main","syscall","name=uart_poll_out",295540,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5624,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
507,9.019 256 592,"main","syscall","Returns after 91.553 us",295543,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5642,5,1C 02 A2 01 03 
508,9.019 256 592,"main","syscall","name=uart_poll_out",295543,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5647,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
509,9.019 348 145,"main","syscall","Returns after 91.553 us",295546,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5665,5,1C 02 A2 01 03 
510,9.019 348 145,"main","syscall","name=uart_poll_out",295546,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5670,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
511,9.019 439 697,"main","syscall","Returns after 91.553 us",295549,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5688,5,1C 02 A2 01 03 
512,9.019 439 697,"main","syscall","name=uart_poll_out",295549,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5693,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
513,9.019 500 732,"main","syscall","Returns after 61.035 us",295551,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5711,5,1C 02 A2 01 02 
514,9.019 531 250,"main","syscall","name=uart_poll_out",295552,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5716,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
515,9.019 592 285,"main","syscall","Returns after 61.035 us",295554,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5734,5,1C 02 A2 01 02 
516,9.019 592 285,"main","syscall","name=uart_poll_out",295554,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5739,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
517,9.019 683 838,"main","syscall","Returns after 91.553 us",295557,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5757,5,1C 02 A2 01 03 
518,9.019 683 838,"main","syscall","name=uart_poll_out",295557,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5762,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
519,9.019 775 391,"main","syscall","Returns after 91.553 us",295560,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5780,5,1C 02 A2 01 03 
